	war_Qid	warLabel	startDate	endDate
0	Q190029	Kosovo War	1998-02-27T00:00:00Z	1999-06-11T00:00:00Z
1	Q207318	French Revolutionary Wars	1792-04-20T00:00:00Z	1802-03-25T00:00:00Z
2	Q214456	Philippine–American War	1899-02-04T00:00:00Z	1902-07-02T00:00:00Z
3	Q325314	Tecumseh's War	1810-08-01T00:00:00Z	1813-10-05T00:00:00Z
4	Q418151	Second Opium War	1856-01-01T00:00:00Z	1860-01-01T00:00:00Z
5	Q430053	Great Sioux War of 1876	1876-01-01T00:00:00Z	1877-01-01T00:00:00Z
6	Q474891	Texas–Indian wars	1820-01-01T00:00:00Z	1875-01-01T00:00:00Z
7	Q6683	Mexican–American War	1846-04-24T00:00:00Z	1848-02-02T00:00:00Z
8	Q8663	Korean War	1950-06-25T00:00:00Z	1953-07-27T00:00:00Z
9	Q8740	Vietnam War	1965-11-01T00:00:00Z	1975-04-30T00:00:00Z
10	Q12583	Spanish–American War	1898-04-25T00:00:00Z	1898-08-11T00:00:00Z
11	Q26013	War of 1812	1812-06-18T00:00:00Z	1815-02-18T00:00:00Z
12	Q26749	War of the Second Coalition	1798-01-01T00:00:00Z	1801-01-01T00:00:00Z
13	Q37643	Gulf War	1990-08-02T00:00:00Z	1991-02-28T00:00:00Z
14	Q49100	Yom Kippur War	1973-10-06T00:00:00Z	1973-10-25T00:00:00Z
15	Q182865	War in Afghanistan	2001-10-07T00:00:00Z	2014-12-28T00:00:00Z
16	Q184425	Pacific War	1941-12-07T00:00:00Z	1945-09-02T00:00:00Z
17	Q524272	South-East Asian theatre of World War II	1941-12-08T00:00:00Z	1945-09-09T00:00:00Z
18	Q617827	Apache Wars	1849-01-01T00:00:00Z	1924-01-01T00:00:00Z
19	Q655480	Quasi-War	1798-07-07T00:00:00Z	1800-09-30T00:00:00Z
20	Q658598	Siberian Intervention	1918-08-01T00:00:00Z	1920-07-01T00:00:00Z
21	Q698312	Aroostook War	1838-01-01T00:00:00Z	1839-01-01T00:00:00Z
22	Q1186260	Creek War	1813-01-01T00:00:00Z	1814-08-01T00:00:00Z
23	Q1382989	Rogue River Wars	1855-01-01T00:00:00Z	1856-01-01T00:00:00Z
24	Q1456086	Nez Perce War	1877-06-01T00:00:00Z	1877-10-01T00:00:00Z
25	Q1501025	Utah War	1857-03-01T00:00:00Z	1858-07-01T00:00:00Z
26	Q768496	Banana Wars	1898-01-01T00:00:00Z	1934-01-01T00:00:00Z
27	Q807741	Barbary Wars	1801-01-01T00:00:00Z	1815-01-01T00:00:00Z
28	Q849680	American Indian Wars	1622-01-01T00:00:00Z	1924-01-01T00:00:00Z
29	Q879980	Black Hawk War	1832-05-01T00:00:00Z	1832-08-01T00:00:00Z
30	Q900693	Seminole Wars	1816-01-01T00:00:00Z	1858-01-01T00:00:00Z
31	Q1052060	Cayuse War	1847-01-01T00:00:00Z	1855-01-01T00:00:00Z
32	Q1064335	Pig War	1961-04-19T00:00:00Z	1961-04-19T00:00:00Z
33	Q2001082	Allied intervention in the Russian Civil War	1918-01-01T00:00:00Z	1925-01-01T00:00:00Z
34	Q2468365	North Russia Intervention	1918-06-01T00:00:00Z	1920-03-01T00:00:00Z
35	Q8740	Vietnam War	1965-11-01T00:00:00Z	1975-04-30T00:00:00Z
36	Q40949	American Revolutionary War	1775-04-19T00:00:00Z	1783-09-03T00:00:00Z
37	Q107802	2003 invasion of Iraq	2003-03-20T00:00:00Z	2003-05-01T00:00:00Z
38	Q234738	Turkish War of Independence	1919-05-19T00:00:00Z	1923-07-24T00:00:00Z
39	Q817206	Cambodian Civil War	1967-03-11T00:00:00Z	1975-04-17T00:00:00Z
40	Q877450	Laotian Civil War	1953-11-09T00:00:00Z	1975-12-02T00:00:00Z
41	Q877450	Laotian Civil War	1959-05-23T00:00:00Z	1975-12-02T00:00:00Z
42	Q1851858	Dakota War of 1862	1862-08-17T00:00:00Z	1862-12-26T00:00:00Z
43	Q2060306	Red Cloud's War	1866-01-01T00:00:00Z	1868-01-01T00:00:00Z
44	Q2342102	Indochina Wars	1946-01-01T00:00:00Z	1989-01-01T00:00:00Z
45	Q2602070	Colorado War	1863-01-01T00:00:00Z	1865-01-01T00:00:00Z
46	Q2635052	Modoc War	1872-07-06T00:00:00Z	1873-06-04T00:00:00Z
47	Q2656995	Northwest Indian War	1785-01-01T00:00:00Z	1795-01-01T00:00:00Z
48	Q2976715	Second Seminole War	1835-12-23T00:00:00Z	1842-08-14T00:00:00Z
49	Q3119015	Yakima War	1855-01-01T00:00:00Z	1858-01-01T00:00:00Z
50	Q3119025	Red River War	1874-01-01T00:00:00Z	1875-01-01T00:00:00Z
51	Q4120277	Second Samoan Civil War	1898-01-01T00:00:00Z	1899-01-01T00:00:00Z
52	Q4122579	Arikara War	1823-01-01T00:00:00Z	1823-01-01T00:00:00Z
53	Q5557072	Ghost Dance War	1890-12-29T00:00:00Z	1891-01-15T00:00:00Z
54	Q6067814	Iraq War troop surge of 2007	2007-01-10T00:00:00Z	2008-07-01T00:00:00Z
55	Q6192082	Jicarilla War	1849-01-01T00:00:00Z	1855-01-01T00:00:00Z
56	Q7125242	Paiute War	1860-01-01T00:00:00Z	1860-01-01T00:00:00Z
57	Q8049168	Yaqui Wars	1533-01-01T00:00:00Z	1929-01-01T00:00:00Z
58	Q42326778	Kake War	1869-02-01T00:00:00Z	1869-02-01T00:00:00Z
59	Q42410546	First Guatemala War	1966-01-01T00:00:00Z	1968-01-01T00:00:00Z
